id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
205844;ORANGE;614101;5G NR 3500;;075;75111;5G;2023-01-18;0752290454;38;30;28;"";1 R DU MARCHE DE POPINCOURT;"";"";75011;75111;"48.864444444444, 2.373611111111";48°51'52''N 2°22'25''E;Projet approuvé
216575;ORANGE;648063;5G NR 3500;;075;75114;5G;2023-01-18;0752292359;38;42;9;"";"226, av du maine";"";"";75014;75114;"48.828611111111, 2.326111111111";48°49'43''N 2°19'34''E;Projet approuvé
216710;ORANGE;648527;5G NR 3500;;075;75115;5G;2023-01-18;0752290029;38;39.7;28;"";82 r blomet;"";"";75015;75115;"48.841666666667, 2.301666666667";48°50'30''N 2°18'6''E;Projet approuvé
216890;ORANGE;649783;5G NR 3500;;075;75115;5G;2023-01-18;0752290358;38;29;9;"";27/29 r de l'abbé groult;"";"";75015;75115;"48.841666666667, 2.295";48°50'30''N 2°17'42''E;Projet approuvé
216947;ORANGE;650141;5G NR 3500;;075;75115;5G;2023-01-18;0752290420;38;36.5;28;"";68/70 r st charles;"";"";75015;75115;"48.848055555556, 2.286111111111";48°50'53''N 2°17'10''E;Projet approuvé
216990;ORANGE;650160;5G NR 3500;;075;75115;5G;2023-01-18;0752290512;38;38;28;"";101 r de la Convention;"";"";75015;75115;"48.841666666667, 2.2875";48°50'30''N 2°17'15''E;Projet approuvé
216998;ORANGE;650162;5G NR 3500;;075;75115;5G;2023-01-18;0752291036;38;54;9;"";6 bd  de grenelle;"";"";75015;75115;"48.853611111111, 2.288888888889";48°51'13''N 2°17'20''E;Projet approuvé
217016;ORANGE;650172;5G NR 3500;;075;75115;5G;2023-01-18;0752291220;17;30;9;"";8 r dupleix;"";"";75015;75115;"48.851944444444, 2.298055555556";48°51'7''N 2°17'53''E;Projet approuvé
217023;ORANGE;650174;5G NR 3500;;075;75115;5G;2023-01-18;0752291390;38;35;9;"";10.12 r st amand;"";"";75015;75115;"48.835, 2.307222222222";48°50'6''N 2°18'26''E;Projet approuvé
217876;ORANGE;660959;5G NR 3500;;075;75113;5G;2023-01-18;0752291574;38;37;29;"";"24, 26 R TOLBIAC";"";"";75013;75113;"48.829166666667, 2.373611111111";48°49'45''N 2°22'25''E;Projet approuvé
